year,month,day,hour,minute,second,cost
2024,02,18,22,54,24,567.264870026                                                                                    [132/295]
2024,02,18,23,54,29,561.454673858
2024,02,19,00,54,36,555.684002834
2024,02,19,01,54,41,549.873806666
2024,02,19,02,54,47,544.103135642
2024,02,19,03,54,53,538.292939474
2024,02,19,04,54,58,532.443218162
2024,02,19,05,55,04,526.69230971
2024,02,19,06,55,10,520.941401258
2024,02,19,07,55,16,515.13120509
2024,02,19,08,55,23,509.380296638
2024,02,19,09,55,29,503.491050182
2024,02,19,10,55,36,497.799429446
2024,02,19,11,55,45,491.989233278
2024,02,19,12,55,53,486.159274538
2024,02,19,13,55,59,480.408366086                                                                                     [87/295]
2024,02,19,14,56,05,474.598169918
2024,02,19,15,56,11,468.768211178
2024,02,19,16,56,17,463.214928446
2024,02,19,17,56,22,457.404732278
2024,02,19,18,56,28,451.653823826
2024,02,19,19,56,34,445.86339023
2024,02,19,20,56,40,439.974143774
2024,02,19,21,56,46,434.242997894
2024,02,19,22,56,52,428.393276582
2024,02,19,23,56,57,422.64236813
2024,02,20,00,57,03,416.91122225
2024,02,20,01,57,09,411.041738366
2024,02,20,02,57,15,405.25130477
2024,02,20,03,45,25,400.626862922